"","Var1","Freq"
"2871","Bcl10",3
"2872","Bcl11a",4
"2873","Bcl11b",4
"2874","Bcl2",5
"2875","Bcl2l1",4
"2877","Bcl2l11",5
"2878","Bcl2l12",2
"2879","Bcl2l13",2
"2880","Bcl2l14",2
"2883","Bcl6",2
"2885","Bcl7a",5
"2887","Bcl7c",3
"2888","Bcl9",2
"2889","Bcl9l",2
"2890","Bclaf1",5
"2894","Bcor",4
"2895","Bcorl1",2
"2896","Bcr",3
"2898","Bdh1",2
"2901","Bdkrb2",2
"2902","Bdnf",2
"2903","Bdp1",2
"2905","Becn1",4
"2907","Bend4",2
"2909","Bend6",2
"2913","Bet1",2
"2914","Bet1l",3
"2919","Bfar",4
"2922","Bgn",3
"2923","Bhlha15",2
"2929","Bhlhe41",2
"2930","Bhmt2",2
"2931","Bicc1",3
"2932","Bicd1",5
"2933","Bicd2",5
"2937","Bicral",3
"2938","Bid",2
"2939","Bik",3
"2942","Birc2",2
"2943","Birc3",2
"2945","Birc6",4
"2951","Blmh",3
"2954","Bloc1s4",2
"2956","Bloc1s6",3
"2959","Blzf1",3
"2960","Bmf",2
"2962","Bmp1",2
"2964","Bmp15",2
"2966","Bmp2k",3
"2968","Bmp5",3
"2970","Bmp7",3
"2972","Bmp8b",2
"2974","Bmpr1a",4
"2975","Bmpr1b",3
"2976","Bmpr2",3
"2977","Bms1",2
"2978","Bmt2",2
"2982","Bnc2",2
"2984","Bnip2",4
"2985","Bnip3l",3
"2987","Boc",2
"2989","Bod1l",2
"2991","Bola1",2
"2992","Bola2",5
"2993","Bola3",2
"2994","Boll",4
"2996","Bora",2
"2999","Borcs7",2
"3001","Bpgm",3
"3002","Bphl",3
"3007","Bpifb1",2
"3012","Bpnt1",2
"3013","Bptf",4
"3014","Braf",7
"3015","Brap",2
"3016","Brat1",4
"3017","Brca1",4
"3019","Brcc3",5
"3020","Brd1",5
"3021","Brd2",2
"3022","Brd3",3
"3023","Brd3os",2
"3024","Brd4",3
"3025","Brd7",2
"3026","Brd8",5
"3028","Brdt",2
"3031","Bri3bp",4
"3036","Brip1os",2
"3037","Brix1",3
"3038","Brk1",2
"3040","Brms1l",2
"3042","Brpf3",2
"3045","Brsk2",3
"3046","Brwd1",4
"3047","Brwd3",4
"3048","Bscl2",2
"3049","Bsdc1",2
"3051","Bsn",3
"3054","Bst1",2
"3056","Btaf1",2
"3058","Btbd11",2
"3061","Btbd19",2
"3063","Btbd3",2
"3065","Btbd7",3
"3066","Btbd8",2
"3067","Btbd9",3
"3068","Btc",2
"3072","Btg2",2
"3076","Btn1a1",3
"3080","Btnl9",2
"3081","Btrc",5
"3083","Bub1b",2
"3084","Bub3",5
"3086","Bud31",2
"3087","Bves",2
"3088","Bvht",2
"3089","Bysl",2
"3090","Bzw1",3
"3091","Bzw2",2
"3100","C130013H08Rik",2
"3103","C130036L24Rik",2
"3107","C130071C03Rik",2
"3112","C1d",3
"3113","C1galt1",3
"3116","C1qb",3
"3117","C1qbp",2
"3118","C1qc",2
"3121","C1ql3",2
"3123","C1qtnf12",4
"3130","C2",2
"3131","C230004F18Rik",4
"3132","C230014O12Rik",2
"3138","C230085N15Rik",3
"3140","C2cd2",4
"3141","C2cd2l",3
"3142","C2cd3",3
"3144","C2cd5",3
"3147","C330018D20Rik",2
"3150","C3ar1",3
"3156","C530008M17Rik",4
"3159","C5ar1",2
"3171","C86187",2
"3182","C920021L13Rik",2
"3187","Cab39",3
"3188","Cab39l",3
"3190","Cabin1",2
"3191","Cables1",2
"3195","Cabp5",2
"3196","Cabp7",2
"3198","Cabyr",3
"3199","Cacfd1",3
"3200","Cachd1",2
"3201","Cacna1a",3
"3202","Cacna1b",4
"3203","Cacna1c",2
"3204","Cacna1d",2
"3205","Cacna1e",2
"3208","Cacna1h",2
"3210","Cacna2d1",4
"3211","Cacna2d2",2
"3213","Cacna2d4",3
"3214","Cacnb1",4
"3215","Cacnb2",2
"3217","Cacnb4",3
"3219","Cacng2",3
"3221","Cacng4",2
"3222","Cacng5",2
"3223","Cacng6",2
"3224","Cacng7",2
"3227","Cacul1",4
"3229","Cad",3
"3230","Cadm1",4
"3231","Cadm2",6
"3232","Cadm3",3
"3236","Cage1",2
"3237","Calb1",3
"3239","Calca",2
"3241","Calcoco1",2
"3244","Calcrl",3
"3245","Cald1",4
"3250","Calm1",5
"3251","Calm2",2
"3252","Calm3",2
"3256","Caln1",3
"3258","Calr3",3
"3261","Camk1",2
"3262","Camk1d",3
"3264","Camk2a",5
"3266","Camk2d",6
"3267","Camk2g",2
"3268","Camk2n1",2
"3270","Camk4",4
"3272","Camkk2",4
"3273","Camkmt",2
"3277","Camsap1",2
"3278","Camsap2",4
"3280","Camta1",3
"3281","Camta2",2
"3282","Cand1",4
"3283","Cand2",2
"3284","Cant1",3
"3285","Canx",3
"3286","Cap1",2
"3287","Cap2",2
"3289","Capn1",2
"3290","Capn10",2
"3294","Capn15",4
"3296","Capn3",2
"3297","Capn5",2
"3298","Capn6",2
"3299","Capn7",3
"3300","Capn8",2
"3304","Caprin1",7
"3306","Caps2",2
"3308","Capza2",2
"3310","Capzb",4
"3312","Car10",2
"3315","Car13",3
"3318","Car3",4
"3319","Car4",2
"3321","Car5b",2
"3323","Car7",3
"3324","Car8",2
"3327","Card11",2
"3331","Carf",2
"3336","Carmil2",2
"3340","Cars2",3
"3342","Casc3",2
"3343","Casc4",2
"3344","Casd1",2
"3345","Cask",4
"3349","Casp12",2
"3352","Casp3",3
"3354","Casp6",2
"3355","Casp7",2
"3358","Casp9",2
"3361","Casr",2
"3363","Cast",3
"3365","Castor2",4
"3366","Casz1",3
"3367","Cat",2
"3369","Catsper2",2
"3376","Cav2",2
"3378","Cavin1",2
"3379","Cavin2",3
"3382","Cbarp",2
"3383","Cbfa2t2",3
"3384","Cbfa2t3",4
"3386","Cbl",3
"3387","Cblb",3
"3388","Cblc",2
